id,menu,category,name,description,price
40,Regular,Blake Street Bowls,Slow Smoked Pork Green Chili,Chef prepared green chili topped with our slow smoked pulled pork & cheddar jack cheese.,Cup $4.50 / Bowl $6.50
41,Regular,Blake Street Bowls,Kickass Bison Chili,Chef prepared chili loades with bison then topped with cheddar jack cheese.,Cup $4.50 / Bowl $6.50
42,Regular,Blake Street Bowls,Soup of the Day,Chef prepared soup.,Cup $4.50 / Bowl $6.50
43,Regular,Blake Street Bowls,The Soup Combo,BLT Flatbread & a cup of soup or chili.,9
44,Regular,Smoke House,Sexy Smoked Sow,"In-house slow smoked pork, drunken onions, wickles pickles, smoky slaw with our tangy slathering sauce on a toasted roll.",9
45,Regular,Smoke House,Killer Hickory Brisket,"In-house slow smoked brisket, drunken onions, wickles pickles, smoky slaw, served with our tangy slathering sauce on a toasted roll.",10
46,Regular,Smoke House,The Fatal Attraction,"In-house slow smoked pork and brisket, drunken onions, wickles pickles, served with our tangy slathering sauce on a toasted roll.",11
47,Regular,Chicken Sandwiches,African Chicken Sandwhich,"Spicy crispy chicken topped with lettuce, tomato, red onion, hot honey sauce and a melagueta creme.",9.5
48,Regular,Chicken Sandwiches,California Club,"Grilled chicken, topped with in-house cured bacon, avocado, lettuce, tomato, red onions, with a cranberry chipotle ranch.",10
49,Regular,Jimmy's Burger Creations,Hang Over Cure,"Fried egg, house cured bacon, cheddar cheese with a Crown Royal Maple peanut butter.",12
50,Regular,Jimmy's Burger Creations,Urban Cheese Burger,"our Choice of cheese: American, Cheddar or Pepper Jack, drunken onions, lettuce, tomato and urban sauce.",$9 (Add House Cured Bacon +$2)
51,Regular,Jimmy's Burger Creations,Bison Burger,"Topped with goat cheese, drunken onions, tomatoes, lettuce and a blueberry honey bourbon sauce.",13
52,Regular,Jimmy's Burger Creations,Cowboy Burger,"Topped with house slow smoked Brisket, cheddar jack, drunken onions, wickles, smokey slaw and our tangy slathering sauce.",12
53,Regular,Jimmy's Burger Creations,Ditka Burger,"Topped with our famous Italian beef, Provolone cheese, your choice of sweet pepers, giardinera peppers or both.",12
54,Regular,Jimmy's Burger Creations,Memphis Burger,"Topped with house slow smoked pulled pork, cheddar jack, drunken onions, wickles, smoky slaw and our tangy slathering sauce.",11
55,Regular,Jimmy's Burger Creations,Acropolis Burger,"Topped with gyros meat, goat cheese, lettuce, tomato, onions with a riata sauce.",11
56,Regular,Specialty Sandwiches,Big Jimmy's Beef,"House roasted Italian beef, thinly sliced piled high and topped with your choice of sweet peppers, giardinera peppers or both.",10
57,Regular,Specialty Sandwiches,Acropolis Naan,"Thick sliced gyros meat, heirloom tomatoes, red onions, goat cheese and riata sauce served in naan bread.",9.5
58,Regular,Specialty Sandwiches,Mahi Mahi Po Boy,"BBQ rubbed Mahi Mahi over smokey slaw, tomato, onion with a roasted red pepper aioli on brioche.",11
59,Regular,Vegetarían,Cuban Black Bean Burger,"Black beans, jalapenos, pepper jack, arcadian greens, tomato, red onions with a red pepper aioli.",9
60,Regular,Vegetarían,Heirloom Tomato Sandwich,"Heirloom tomatoes, fresh mozzarella, basil, arcadian greens with a balsamic dressing.",9
61,Regular,Desserts,The Jack & Coke,Our rich custard bread pudding topped with our house crafted Jack Daniels ice cream and homemade caramel coke syrup.,6
62,Regular,Desserts,Fried Candy Bars,"Topped with our Madagascar vanilla ice cream. Choose from Snickers, Twix, Reese's or Milky Way.",5
63,Regular,Desserts,Chocolate Avalanche,"Fried Triple Chocolate Brownie topped with Madagascar vanilla ice cream, caramel, chocolate sauce and fresh whipped cream.",7
